Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,28.6000011706788,8.83227780288267,1.41411799339429,11.2297148272859,5.35740324748592,13.8263195471281,3.92498381999467,21.3905283926492,14.3624414710737,0.426354776777345,12.7522870926697,5.60074465863221,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,12.6862687216715,6.78459655001655,8.68057078513406,26.4186641547444,-6.81116108898996,2.17853752389419,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536345,-0.661709164713742,4.38389195513915,4.97595150553833,0.626149149168847,2.30237251516834,5.60188791482224,5.13320340824963,13.7121023720065
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,3.4794499874115,3.4620099067688,2.60420989990234,3.45445990562439,3.69521999359131,3.25578999519348,4.5439600944519,4.34319019317627,..,..,..,..,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.00456139517022146,0.0878912528559713,0.105809030021958,1.22414808372471,2.10712364546412,1.899999976,1.84,3.55,4,5,5.454500198,5.900000095,7,8.260000229,11,13.5,16.79999924,17.60000038,17.04850006,16.51429939,15.86629963
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.44339085,8.94125843,9.80847359,9.94828892,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981,15.53361416,21.50844383,23.0881691
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,2.494,..,..,..,1.692,..,7.915,..,..,11.184,..,..,11.71,5.679,..
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,73.4013137817383,95.3357467651367,105.475051879883,99.50390625,102.284866333008,99.3228988647461,104.445137023926,99.7054214477539,103.48560333252,101.542083740234,106.575317382812,107.942840576172,109.829452514648,106.773551940918,106.784042358398,106.54354095459,107.687660217285,109.075309753418,..,..,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,38.6278918638443,37.4188554431481,29.7210671376957,31.114854912062,28.6359685844686,30.1050113574013,24.8922700059742,29.2975010547259,26.2100685374552,23.7436639877543,24.390873626371,22.8106627361766,22.1370413719574,20.6343227166798,25.7403140364582,26.4201990834448,22.0428967527575,25.7739707394105,29.9755825210461,33.5976188725451,33.7014323213923
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.9412480133309,19.1600346409089,19.3993593959593,19.7059095753667,20.1104530189181,20.5906579215423,21.1241481349633,21.6885475109053,22.2614799010924,22.8205691572485,23.3434391310979,23.8077136743646,24.1910166387726,24.4649118421568,24.6588345720126,24.8352821238871,24.9991645191406,25.1437258839803,25.2622103446137,25.3478620272481,25.3939250580909
