income_group,region,poverty_ratio
Upper middle income,Europe & Central Asia,4.2
Upper middle income,Europe & Central Asia,2.7
Upper middle income,Europe & Central Asia,0.8
Upper middle income,Europe & Central Asia,1.8
Upper middle income,Europe & Central Asia,3.7
Upper middle income,Europe & Central Asia,1.1
Upper middle income,Europe & Central Asia,1.1
Upper middle income,Europe & Central Asia,1.4
Upper middle income,Europe & Central Asia,1.0
Upper middle income,Europe & Central Asia,0.3
Upper middle income,Europe & Central Asia,0.3
Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",0.0
Lower middle income,Sub-Saharan Africa ,22.1
Lower middle income,Sub-Saharan Africa ,39.3
Upper middle income,Latin America & Caribbean ,17.1
Upper middle income,Latin America & Caribbean ,8.2
Upper middle income,Latin America & Caribbean ,6.0
Upper middle income,Latin America & Caribbean ,4.4
Upper middle income,Latin America & Caribbean ,3.5
Upper middle income,Latin America & Caribbean ,2.8
Upper middle income,Latin America & Caribbean ,2.6
Upper middle income,Latin America & Caribbean ,2.4
Upper middle income,Latin America & Caribbean ,1.5
Upper middle income,Latin America & Caribbean ,1.2
Upper middle income,Latin America & Caribbean ,1.3
Upper middle income,Latin America & Caribbean ,1.1
Upper middle income,Latin America & Caribbean ,1.1
Upper middle income,Latin America & Caribbean ,1.3
Upper middle income,Latin America & Caribbean ,1.1
Upper middle income,Latin America & Caribbean ,1.6
Upper middle income,Latin America & Caribbean ,1.7
Upper middle income,Latin America & Caribbean ,2.2
Upper middle income,Latin America & Caribbean ,1.4
Upper middle income,Latin America & Caribbean ,1.3
Upper middle income,Europe & Central Asia,19.8
Upper middle income,Europe & Central Asia,14.8
Upper middle income,Europe & Central Asia,10.3
Upper middle income,Europe & Central Asia,6.1
Upper middle income,Europe & Central Asia,4.5
Upper middle income,Europe & Central Asia,3.7
Upper middle income,Europe & Central Asia,2.0
Upper middle income,Europe & Central Asia,3.1
Upper middle income,Europe & Central Asia,2.9
Upper middle income,Europe & Central Asia,3.1
Upper middle income,Europe & Central Asia,2.5
Upper middle income,Europe & Central Asia,2.9
Upper middle income,Europe & Central Asia,3.4
Upper middle income,Europe & Central Asia,2.9
Upper middle income,Europe & Central Asia,2.5
Upper middle income,Europe & Central Asia,2.4
Upper middle income,Europe & Central Asia,2.9
Upper middle income,Europe & Central Asia,2.4
Upper middle income,Europe & Central Asia,1.5
Upper middle income,Europe & Central Asia,2.1
Upper middle income,Europe & Central Asia,1.9
High income,East Asia & Pacific,1.1
High income,East Asia & Pacific,0.7
High income,East Asia & Pacific,0.5
High income,East Asia & Pacific,0.5
High income,East Asia & Pacific,0.6
High income,East Asia & Pacific,0.5
High income,East Asia & Pacific,0.6
High income,East Asia & Pacific,0.9
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.5
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.5
High income,Europe & Central Asia,0.5
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.5
High income,Europe & Central Asia,0.6
Upper middle income,Europe & Central Asia,0.2
Upper middle income,Europe & Central Asia,0.2
Upper middle income,Europe & Central Asia,0.0
Upper middle income,Europe & Central Asia,0.0
Lower middle income,South Asia,32.3
Lower middle income,South Asia,25.1
Lower middle income,South Asia,19.5
Lower middle income,South Asia,5.9
High income,Latin America & Caribbean ,1.7
Upper middle income,Europe & Central Asia,10.4
Upper middle income,Europe & Central Asia,8.7
Upper middle income,Europe & Central Asia,4.3
Upper middle income,Europe & Central Asia,2.4
Upper middle income,Europe & Central Asia,1.1
Upper middle income,Europe & Central Asia,1.1
Upper middle income,Europe & Central Asia,0.5
Upper middle income,Europe & Central Asia,0.5
Upper middle income,Europe & Central Asia,0.2
Upper middle income,Europe & Central Asia,0.1
Upper middle income,Europe & Central Asia,0.1
Upper middle income,Europe & Central Asia,0.0
Upper middle income,Europe & Central Asia,0.0
Upper middle income,Europe & Central Asia,0.0
Upper middle income,Europe & Central Asia,0.0
Upper middle income,Europe & Central Asia,0.0
Upper middle income,Europe & Central Asia,0.0
Upper middle income,Europe & Central Asia,0.0
Upper middle income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
Upper middle income,Latin America & Caribbean ,1.0
