Country Name,Country Code,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Current health expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),GDP per capita (current US$),"Government expenditure on education, total (% of GDP)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),"School enrollment, primary (% gross)","Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
Albania,ALB,2002,99.4,19.7639164696809,5.59802675,2.99003115858884,4.62839587394552,1479.83884572006,3.00253009796143,0.39008127343332,7.77052583431551,75.299,4.2,110.338920593262,4.615,43.1520419609419
Albania,ALB,2005,99.4,17.1247178955729,5.6621623,3.17899814544722,5.13082193056189,2741.72136549578,3.20023989677429,6.04389086404814,2.36658195679795,76.427,2.7,107.016143798828,6.566,45.9937666920583
Albania,ALB,2008,100.0,15.422100399492,5.44421673,9.40665320050491,6.90706230713707,4498.50486763601,4.62330484390259,23.86,3.32087090389275,78.248,0.8,100.383003234863,13.06,49.3850699230207
Albania,ALB,2012,99.9,17.5913685516371,6.08504725,7.49597513325321,0.984129880204108,4280.93316338873,3.29533986928598,49.40000153,2.03159268395296,78.084,1.8,102.067360891559,13.376,53.8637553661449
Albania,ALB,2014,100.0,19.2377589164282,6.35884142,8.64846635716115,2.24022695382642,4793.59751131525,3.18177734553254,54.29999924,1.62586504402614,78.029,3.7,105.770581813858,18.055,54.7325813178673
Albania,ALB,2015,100.0,18.7471602773412,6.38810158,8.62740636982337,2.2277040745779,4199.53912925398,3.41300010681152,56.90000153,1.89617402592356,78.358,1.1,105.688652991606,17.193,55.1579291374894
Albania,ALB,2016,99.9,19.167190753497,6.65018797,8.71147225448456,3.90893551362245,4457.63412207495,3.91997003555298,59.59999847,1.27543168367423,78.643,1.1,105.324777401077,15.418,55.5738734464276
Albania,ALB,2017,99.9,18.079078214296,6.50111914,7.71411336285186,3.28317593330073,5006.36012951959,3.54673004150391,62.40000153,1.98666133171194,78.9,1.4,105.414970908323,13.616,55.980276426546
Albania,ALB,2018,100.0,17.9155558179549,6.59002447,7.83109146132114,3.67141928098908,5897.65452588774,3.08201370407389,65.40000153,2.02805963071135,79.238,1.0,104.568015324639,12.304,56.377000259892
Albania,ALB,2019,100.0,18.1603973706713,6.78144073,7.70621465029911,2.06257790176122,6069.43903131027,3.8701798915863,68.5503911218006,1.41109078954242,79.467,0.3,102.58954115148,11.466,56.7639071287255
